CHRM;START;END;DELTALK
chrI;87561;87716;-1,568954094
chrI;88852;89013;-1,349929244
chrI;88852;89013;-1,349929244
chrI;88889;89053;-1,71832009
chrI;91036;91130;-0,529061161
chrI;94271;94416;-1,127470224
chrI;97984;98151;-1,439823481
chrI;100299;100401;0,145125764
chrI;100430;100592;-0,972570656
chrI;100744;100901;-1,177782262
chrI;100903;101028;-0,681458043
chrI;101774;101913;-1,268887199
chrI;102759;102918;-1,404046068
chrI;110352;110498;-1,262096736
chrI;110959;111107;-1,365708219
chrI;111829;111987;-2,304517965
chrI;111829;111989;-1,220675432
chrI;111835;111987;-1,321773661
chrI;111835;111989;-1,903586461
chrI;113198;113345;-1,313354286
chrI;113198;113345;-1,313354286
chrI;113272;113431;-1,295849447
chrI;114916;115064;-1,000643596
chrI;116310;116474;-1,186230225
chrI;119258;119408;-0,376293772
chrI;121555;121709;-1,247553434
chrI;128610;128759;-1,338333574
chrI;128749;128913;-1,42014932
chrI;132160;132339;-1,625001105
chrI;132322;132449;-1,12899717
chrI;133311;133456;-1,279779418
chrI;133444;133595;-1,312572395
chrI;134936;135082;-1,233599314
chrI;139478;139611;-0,937522987
chrI;144452;144595;-1,203524654
chrI;144452;144595;-1,203524654
chrI;145995;146131;-0,824624641
chrI;145995;146131;-0,824624641
chrI;157171;157325;-1,420376368
chrI;158225;158386;-1,162030477
chrI;158476;158631;-1,466764872
chrI;158476;158631;-1,466764872
chrI;159246;159353;-1,32864883
chrI;161173;161287;-1,44116562
chrI;163265;163422;-1,360421984
chrI;164304;164458;-1,406236959
chrI;164304;164458;-1,406236959
chrI;164952;165092;-1,239994795
chrI;164958;165092;-1,223023256
chrI;165370;165525;-1,247413069
chrI;165501;165609;-0,974105815
chrI;165531;165649;-1,16531138
chrI;165650;165799;-1,184904444
chrI;170185;170316;-0,991286797
chrI;170746;170892;-1,419404324
chrI;173251;173422;-1,247836659
chrI;174403;174559;-1,268429026
chrI;177062;177157;-0,925986621
chrI;178178;178314;-1,157292599
chrI;181632;181781;-1,6308092
chrI;184868;185010;-1,180277539
chrI;188940;189093;-1,21049533
chrI;189954;190061;-0,739135051
chrI;189954;190062;-0,738228073
chrI;189954;190063;-0,850741142
chrI;189954;190077;-1,285620828
chrI;191415;191573;-1,529273336
chrI;191722;191874;-1,237006303
chrI;192889;193041;-1,723783132
chrI;193467;193622;-1,310298541
chrI;194126;194279;-1,34565981
chrI;194141;194279;-0,95749856
chrI;194290;194442;-1,043901966
chrI;204527;204675;-1,366287583
chrI;204662;204810;-1,204518936
chrI;204797;204945;-1,194263798
chrI;205040;205170;-1,159623338
chrI;205573;205699;-0,727906068
chrI;205573;205705;-1,254685071
chrI;205573;205712;-1,012284504
chrI;205580;205712;-0,99796908
chrI;206390;206543;-1,836820478
chrI;207406;207531;-0,816530428
chrI;215442;215555;-1,736345291
chrI;217878;218015;-1,162588108
chrI;217916;218076;-1,479307354
chrI;218711;218856;-1,136650022
chrI;218738;218886;-1,215559937
chrI;222387;222554;-1,349608552
chrI;222751;222855;-0,980770953
chrI;223257;223420;-1,483544312
chrI;224065;224173;-1,318042122
chrI;224877;224997;-1,326308076
chrI;226540;226687;-1,204924103
chrI;229861;230005;-1,14650557
chrI;230119;230218;-0,283250953
chrI;230124;230218;-0,112407352
chrII;163;311;-1,339618443
chrII;526;677;-1,122700906
chrII;1089;1240;-1,153642956
chrII;1727;1858;-0,962631553
chrII;1727;1870;-1,208984888
chrII;1727;1914;-1,023851407
chrII;1931;2076;-1,398920977
chrII;1936;2043;-0,634852792
chrII;1937;2034;-0,762519621
chrII;1937;2042;-1,618967553
chrII;1937;2046;-0,680066278
chrII;1937;2051;-1,142580445
chrII;1937;2054;-1,282598983
chrII;1937;2057;-1,129549176
chrII;1937;2062;-1,838064879
chrII;1937;2071;-1,084959621
chrII;1937;2072;-1,226959369
chrII;1937;2073;-1,957126123
chrII;1937;2075;-1,596758786
chrII;1937;2076;-1,105255183
chrII;1937;2082;-2,679580974
chrII;1937;2086;-1,63174152
chrII;1938;2076;-1,224450881
chrII;1939;2076;-1,518387315
chrII;1940;2076;-1,359600303
chrII;1941;2076;-1,029142639
chrII;1942;2076;-1,726837644
chrII;1944;2076;-1,181981789
chrII;1947;2076;-1,517897595
chrII;1948;2076;-1,355921231
chrII;1952;2076;-0,982107431
chrII;1953;2076;-0,584200369
chrII;1964;2076;-0,897829145
chrII;1966;2076;-0,663844067
chrII;2124;2286;-1,489886698
chrII;2124;2286;-1,489886698
chrII;2191;2286;-0,863684874
chrII;2267;2374;-0,785948273
chrII;2267;2414;-1,559119201
chrII;2522;2620;-0,719252405
chrII;2522;2673;-1,076920734
chrII;3354;3498;-0,952337581
chrII;3419;3571;-1,250718532
chrII;3701;3844;-1,424193058
chrII;3992;4129;-1,254485891
chrII;7980;8135;-1,017882777
chrII;10712;10874;-1,593400301
chrII;20981;21152;-1,715983406
chrII;21442;21596;-1,536203893
chrII;24248;24399;-1,031056071
chrII;24299;24437;-1,158174315
chrII;25280;25416;-1,143379963
chrII;26126;26261;-1,054825399
chrII;30232;30334;-0,651831833
chrII;31655;31803;-1,092010891
chrII;32970;33121;-1,103793485
chrII;35988;36136;-1,244201563
chrII;48768;48912;-1,239553472
chrII;54394;54539;-0,986216701
chrII;54394;54539;-0,986216701
chrII;54551;54716;-1,139673053
chrII;54551;54716;-1,139673053
chrII;62389;62546;-1,382861839
chrII;62885;63033;-1,263117382
chrII;64104;64264;-1,318805016
chrII;64653;64794;-1,398025619
chrII;65899;66050;-1,495715774
chrII;67731;67881;-1,37633213
chrII;69118;69263;-1,159153969
chrII;79393;79540;-1,719609071
chrII;81527;81678;-1,374821732
chrII;81527;81678;-1,374821732
chrII;86475;86605;-1,015290796
chrII;87052;87211;-1,613149953
chrII;94866;95023;-1,496880406
chrII;97063;97217;-1,273904521
chrII;97108;97247;-0,912827287
chrII;98068;98229;-1,463100968
chrII;98405;98563;-1,400718636
chrII;102188;102336;-1,48455441
chrII;105450;105577;-1,068773785
chrII;105532;105684;-1,44357567
chrII;105532;105684;-1,44357567
chrII;105754;105910;-0,815046163
chrII;106088;106233;-1,111842236
chrII;112631;112737;-1,138361425
chrII;112631;112749;-1,165103148
chrII;117607;117737;-0,896674642
chrII;118185;118336;-1,33033991
chrII;118430;118588;-1,195666979
chrII;118430;118588;-1,195666979
chrII;118604;118737;-0,865913164
chrII;118662;118820;-1,46619699
chrII;120690;120830;-1,11073866
chrII;130330;130481;-1,354184127
chrII;133172;133320;-1,608611205
chrII;134044;134208;-1,343929583
chrII;134044;134208;-1,343929583
chrII;146223;146376;-1,321233983
chrII;147729;147892;-1,64896304
chrII;157306;157457;-1,34277469
chrII;158794;158975;-1,489809654
chrII;159579;159667;-0,672768137
chrII;159579;159734;-1,41516889
chrII;161150;161286;-1,277479554
chrII;161650;161786;-1,18045652
chrII;164812;164963;-1,237920302
chrII;169155;169305;-1,30591113
chrII;171571;171720;-1,161946715
chrII;171661;171810;-1,240220877
chrII;171661;171810;-1,240220877
chrII;174305;174447;-1,091529763
chrII;186048;186192;-1,062458065
chrII;187191;187351;-1,627421457
chrII;188175;188332;-1,343589318
chrII;189372;189539;-1,520501284
chrII;192490;192638;-1,128087103
chrII;195265;195410;-1,171387466
chrII;203726;203877;-1,250439918
chrII;204265;204408;-1,571212415
chrII;213654;213809;-0,658603789
chrII;214589;214739;-1,489830875
chrII;214869;215017;-1,176619464
chrII;215320;215464;-1,10391934
chrII;216639;216771;-1,723397887
chrII;217546;217694;-1,12663001
chrII;222615;222772;-1,142025999
chrII;222619;222772;-1,446041905
chrII;223146;223281;-1,214836418
chrII;223772;223929;-1,483106003
chrII;223872;224016;-1,1357005
chrII;223872;224016;-1,1357005
chrII;224435;224582;-1,232898347
chrII;224435;224582;-1,232898347
chrII;225175;225325;-1,410601247
chrII;226374;226481;-1,596265069
chrII;226832;226946;-1,349868328
chrII;228528;228693;-1,754544703
chrII;233542;233703;-1,488641967
chrII;234707;234798;-1,399796163
chrII;239108;239251;-1,160932322
chrII;249586;249752;-1,460240793
chrII;252919;253070;-1,338288891
chrII;253969;254127;-1,517313475
chrII;255566;255720;-1,430021544
chrII;260109;260232;-1,053192789
chrII;260209;260364;-1,509131457
chrII;260642;260776;-0,586070067
chrII;260642;260782;-0,963757536
chrII;261685;261820;-0,995726897
chrII;262132;262282;-1,10978534
chrII;262311;262468;-1,462281745
chrII;262974;263121;-1,058720824
chrII;263717;263867;-1,384266737
chrII;264916;265023;-1,458520689
chrII;269730;269883;-1,101384237
chrII;269730;269885;-2,233425246
chrII;269781;269930;-1,410364781
chrII;272917;273071;-1,381071069
chrII;279942;280075;-1,076543114
chrII;282915;283035;-1,09549185
chrII;288899;289053;-1,330754737
chrII;289452;289559;-1,216533893
chrII;289452;289573;-1,285147454
chrII;292636;292792;-1,332846524
chrII;295986;296116;-0,860940601
chrII;296940;297047;-1,335508013
chrII;296940;297056;-1,498188266
chrII;298361;298510;-1,193268767
chrII;298515;298656;-1,059273554
chrII;300341;300475;-0,914362894
chrII;303103;303264;-1,461900746
chrII;304167;304319;-1,267210037
chrII;306192;306322;-1,280327839
chrII;310844;311002;-1,368252604
chrII;314561;314691;-0,962520912
chrII;316179;316338;-1,604946668
chrII;320829;320984;-1,26189574
chrII;324261;324383;-0,975459417
chrII;324593;324738;-1,28786413
chrII;333410;333578;-1,408097988
chrII;334171;334335;-1,639948638
chrII;341568;341673;-0,834575191
chrII;344002;344150;-1,201988833
chrII;345574;345727;-1,297378957
chrII;348428;348599;-1,13153481
chrII;348488;348624;-1,132777903
chrII;352601;352731;-1,055310767
chrII;354955;355107;-1,254234777
chrII;360789;360938;-1,474616729
chrII;369124;369272;-1,429493757
chrII;369614;369763;-1,063372795
chrII;372782;372926;-1,014742943
chrII;379733;379878;-1,112952051
chrII;380438;380593;-1,077365548
chrII;380438;380593;-1,077365548
chrII;383232;383381;-0,996686495
chrII;384056;384165;-1,623780409
chrII;384888;385039;-1,319140026
chrII;385956;386120;-1,211693631
chrII;386724;386859;-1,053143167
chrII;402057;402202;-1,276781246
chrII;405294;405447;-1,159552264
chrII;411086;411218;-0,877040498
chrII;412922;413067;-1,266292301
chrII;417276;417442;-1,2587924
chrII;418844;418980;-2,768708743
chrII;420492;420630;-1,109448642
chrII;432763;432911;-1,831373047
chrII;435614;435764;-1,369178642
chrII;441246;441413;-1,504828399
chrII;442313;442462;-1,369837877
chrII;447274;447421;-1,002159996
chrII;448183;448311;-1,092945784
chrII;448687;448853;-1,509032771
chrII;450522;450683;-1,314301324
chrII;456967;457110;-1,532475687
chrII;459507;459619;-1,579094464
chrII;463510;463659;-1,404145294
chrII;464402;464557;-1,127412307
chrII;467973;468117;-1,032238428
chrII;469937;470099;-1,37154338
chrII;478544;478678;-0,815841234
chrII;479993;480154;-1,259329534
chrII;480073;480226;-1,23061109
chrII;483614;483775;-1,214965849
chrII;490237;490391;-0,981533398
chrII;496459;496596;-1,246572939
chrII;498698;498864;-1,379409744
chrII;499848;499990;-0,927358262
chrII;501137;501288;-1,080504278
chrII;503704;503871;-1,452303465
chrII;503704;503871;-1,452303465
chrII;505974;506148;-1,394268654
chrII;506025;506148;-0,62939195
chrII;506025;506179;-1,241093561
chrII;506025;506179;-1,241093561
chrII;509772;509912;-1,082668098
chrII;511646;511795;-1,434658486
chrII;512273;512423;-1,44706331
chrII;519148;519306;-1,271055536
chrII;523260;523407;-1,337333998
chrII;523774;523925;-1,316681204
chrII;525378;525528;-1,287368088
chrII;527770;527902;-1,066277836
chrII;528914;529061;-1,099649381
chrII;529231;529384;-1,273423221
chrII;533755;533907;-0,989226591
chrII;543934;544097;-1,34536352
chrII;545512;545645;-1,088763431
chrII;550054;550200;-0,857880812
chrII;551769;551916;-1,300364602
chrII;551821;551946;-1,326670932
chrII;552584;552756;-1,440625385
chrII;560316;560442;-1,221672782
chrII;568857;569009;-1,31346641
chrII;570513;570675;-1,289589675
chrII;570513;570675;-1,289589675
chrII;575360;575489;-0,977519812
chrII;575363;575489;-1,175867983
chrII;575635;575789;-1,754362726
chrII;577662;577794;-1,636094452
chrII;581371;581525;-1,645286481
chrII;583028;583186;-1,289905811
chrII;583277;583426;-1,159587992
chrII;589093;589249;-1,56010912
chrII;598510;598657;-1,232680898
chrII;599865;600024;-1,182357063
chrII;601519;601677;-1,511310659
chrII;601519;601677;-1,511310659
chrII;608166;608308;-1,05398561
chrII;608166;608308;-1,05398561
chrII;610440;610604;-1,484272313
chrII;615980;616137;-1,063248295
chrII;618802;618957;-1,229307997
chrII;621368;621503;-1,129265196
chrII;624538;624687;-1,249099736
chrII;626717;626881;-1,361430048
chrII;633744;633889;-1,035454002
chrII;633747;633889;-1,135180111
chrII;634590;634750;-1,296665043
chrII;635204;635350;-1,938915442
chrII;636694;636853;-1,375705026
chrII;636695;636853;-1,364353674
chrII;636699;636853;-1,515038997
chrII;641881;642011;-1,209245845
chrII;643000;643147;-1,329472018
chrII;643625;643773;-1,155154848
chrII;645958;646066;-0,417230945
chrII;652842;653006;-1,075597988
chrII;667311;667462;-2,246118016
chrII;670468;670600;-1,364029643
chrII;672951;673112;-1,184502263
chrII;673886;673964;-0,798
chrII;673886;673989;-0,672906555
chrII;674406;674512;-1,582178995
chrII;674406;674523;-1,454474226
chrII;678764;678912;-1,175676074
chrII;682036;682166;-1,045846273
chrII;683947;684082;-1,093585499
chrII;684506;684665;-1,400190924
chrII;685114;685267;-1,143652323
chrII;688568;688714;-1,313717319
chrII;693669;693820;-1,624186433
chrII;696303;696437;-0,984598953
chrII;698169;698308;-0,934238114
chrII;698728;698854;-0,996001992
chrII;698730;698836;-0,715778305
chrII;699474;699629;-1,3447482
chrII;699802;699945;-1,679432646
chrII;699802;699953;-1,700062035
chrII;699834;699945;-1,313347211
chrII;699834;699953;-0,934322568
chrII;702899;703031;-1,534616715
chrII;706525;706696;-1,242849783
chrII;708493;708657;-1,040369298
chrII;708881;709054;-1,481569108
chrII;716866;717023;-1,369908789
chrII;716874;717023;-1,108888063
chrII;718549;718695;-1,483357466
chrII;721490;721639;-1,114106296
chrII;723357;723507;-1,24577868
chrII;727858;728011;-1,111040747
chrII;733512;733676;-1,628574356
chrII;735258;735391;-0,601625644
chrII;736781;736927;-1,194053632
chrII;736912;737033;-1,076385223
chrII;740252;740411;-1,308668504
chrII;743678;743781;-1,597747713
chrII;746216;746373;-1,423993514
chrII;747192;747321;-1,046172535
chrII;748930;749090;-1,367845746
chrII;749254;749401;-1,108331229
chrII;750045;750206;-1,100825585
chrII;760513;760620;-0,945882361
chrII;760513;760634;-1,219239247
chrII;771359;771518;-1,437711441
chrII;771799;771953;-1,298920275
chrII;774249;774405;-1,411326104
chrII;775701;775861;-0,929463514
chrII;777331;777484;-1,339755057
chrII;779629;779798;-1,50707337
chrII;780145;780251;-1,053022222
chrII;780145;780260;-0,918611905
chrII;780582;780757;-1,500281704
chrII;781915;782083;-1,198476355
chrII;786436;786542;-0,801755722
chrII;786436;786560;-1,062389934
chrII;788442;788582;-1,010280463
chrII;788604;788759;-1,447389067
chrII;789546;789709;-1,586585326
chrII;791029;791155;-1,301735875
chrII;791029;791156;-1,036811816
chrII;791031;791136;-0,713070249
chrII;793238;793400;-1,179922456
chrII;795412;795559;-1,168072292
chrII;809074;809203;-1,3505723
chrII;812955;813098;-1,217374679
chrIII;2;145;-0,954679452
chrIII;2;176;-0,229084052
chrIII;4;145;-1,406102945
chrIII;10;145;-1,31929281
chrIII;10;146;-0,995025744
chrIII;14;145;-0,89276556
chrIII;19;145;-0,676104031
chrIII;26;145;-1,106431779
chrIII;37;145;-0,911015253
chrIII;41;145;-1,016883833
chrIII;50;145;-0,840231361
chrIII;50;176;0,156676152
chrIII;50;185;-0,746822302
chrIII;50;201;-0,678938322
chrIII;50;220;-0,703926889
chrIII;73;263;-1,312793189
chrIII;88;231;-1,267464587
chrIII;97;212;-0,931331371
chrIII;110;263;-1,269630523
chrIII;110;280;-0,88860386
chrIII;110;283;-1,116390842
chrIII;115;280;-0,923278483
chrIII;115;283;-1,147224261
chrIII;118;284;-0,929152627
chrIII;129;252;-0,919105825
chrIII;129;260;-0,782812905
chrIII;129;263;-0,72076581
chrIII;129;280;-0,943894971
chrIII;129;283;-0,955521888
chrIII;129;284;-1,723242825
chrIII;129;301;-1,695454046
chrIII;129;309;-1,188465012
chrIII;129;326;-1,004285517
chrIII;143;284;-1,573492119
chrIII;164;284;-0,828521588
chrIII;164;341;-0,676782129
chrIII;186;284;-0,74917568
chrIII;186;320;-1,551770143
chrIII;186;337;-1,671725041
chrIII;186;341;-1,327448223
chrIII;186;352;-1,426052459
chrIII;186;353;-1,532908001
chrIII;186;355;-0,772229989
chrIII;192;329;-0,926236863
chrIII;246;341;-0,900552583
chrIII;246;352;-0,70570749
chrIII;5166;5314;-1,232000214
chrIII;5882;5994;-1,835019833
chrIII;7560;7714;-1,589499231
chrIII;9830;9940;-0,920543576
chrIII;9831;9940;-1,031392141
chrIII;9831;9941;-0,834303001
chrIII;9832;9955;-1,865931237
chrIII;11462;11613;-1,358056487
chrIII;17946;18093;-1,381815646
chrIII;23277;23427;-1,304688533
chrIII;27235;27381;-1,287126281
chrIII;32929;33083;-1,205673076
chrIII;34797;34957;-1,554230317
chrIII;36971;37125;-1,313352521
chrIII;37274;37421;-1,087073864
chrIII;41105;41261;-1,375512355
chrIII;42270;42419;-1,120656719
chrIII;56437;56565;-1,162300779
chrIII;62417;62568;-1,338661321
chrIII;62420;62568;-1,395111568
chrIII;62779;62946;-1,52612384
chrIII;62988;63143;-1,460107083
chrIII;68315;68492;-1,726689326
chrIII;68580;68746;-1,413775684
chrIII;74254;74383;-1,009646792
chrIII;75106;75269;-1,425221364
chrIII;82256;82435;-2,027682426
chrIII;86659;86788;-1,251349554
chrIII;86884;87013;-1,331965765
chrIII;88349;88492;-1,005872508
chrIII;89624;89790;-1,771992996
chrIII;90428;90577;-1,065351661
chrIII;90432;90582;-1,320665557
chrIII;92227;92379;-1,112431138
chrIII;93544;93697;-1,293327448
chrIII;94513;94671;-1,465807665
chrIII;95867;96028;-1,710905784
chrIII;95874;96028;-1,447836567
chrIII;97469;97602;-1,495463613
chrIII;100878;101025;-1,28986259
chrIII;100878;101048;-1,335822729
chrIII;101513;101652;-1,045398788
chrIII;101547;101689;-1,14446132
chrIII;101696;101853;-1,118911908
chrIII;103033;103165;-0,774247191
chrIII;103103;103249;-1,156783737
chrIII;103103;103251;-1,102522501
chrIII;104725;104877;-1,120089765
chrIII;106067;106230;-1,314909405
chrIII;116514;116644;-1,218378718
chrIII;117818;117976;-1,308629601
chrIII;132816;132923;-1,552858369
chrIII;132817;132923;-2,005595077
chrIII;133268;133417;-1,198946699
chrIII;134878;135010;-1,602285663
chrIII;136592;136744;-1,025019285
chrIII;137946;138097;-1,251124188
chrIII;138189;138339;-1,222217245
chrIII;146706;146857;-1,617003251
chrIII;154254;154394;-1,164384349
chrIII;154256;154394;-1,381052849
chrIII;156400;156550;-1,246299697
chrIII;156437;156550;-1,042650876
chrIII;156484;156645;-1,554770183
chrIII;158189;158338;-1,564439488
chrIII;159911;160084;-1,769715977
chrIII;159911;160084;-1,769715977
chrIII;161801;161938;-1,845675426
chrIII;175934;176084;-1,159976807
chrIII;186417;186569;-1,345774075
chrIII;188100;188260;-1,669387205
chrIII;191522;191646;-1,031499942
chrIII;195429;195578;-1,20943358
chrIII;201078;201230;-1,18881041
chrIII;208738;208879;-1,882906559
chrIII;209585;209734;-1,10906871
chrIII;210916;211072;-1,244734556
chrIII;213468;213602;-0,954607696
chrIII;215653;215790;-0,865616105
chrIII;217960;218102;-1,208113529
chrIII;228591;228741;-1,284766155
chrIII;231011;231166;-1,659060501
chrIII;234251;234402;-1,518111731
chrIII;234921;235052;-1,76544927
chrIII;236307;236469;-1,389862065
chrIII;238120;238291;-1,962163652
chrIII;238120;238291;-1,962163652
chrIII;240298;240452;-1,67725888
chrIII;240452;240614;-1,282702067
chrIII;242569;242719;-1,059230457
chrIII;246007;246188;-1,929933178
chrIII;246926;247057;-1,007454773
chrIII;246926;247058;-0,897760429
chrIII;248934;249085;-1,480690621
chrIII;251728;251875;-0,985710543
chrIII;252213;252361;-1,181121786
chrIII;252238;252397;-1,370693883
chrIII;254663;254821;-1,293109683
chrIII;257083;257228;-1,463182799
chrIII;257806;257969;-1,40977351
chrIII;258183;258325;-1,03873871
chrIII;259144;259292;-1,33061948
chrIII;262204;262356;-1,170638304
chrIII;269289;269448;-1,511255299
chrIII;272784;272929;-1,636330826
chrIII;276672;276825;-1,525113886
chrIII;280552;280680;-1,388452975
chrIII;281034;281170;-1,077118391
chrIII;286830;286938;-1,112362447
chrIII;286830;286939;-1,124724778
chrIII;286830;286940;-1,309761628
chrIII;286830;286941;-1,155714204
chrIII;286832;286938;-1,580583781
chrIII;286832;286939;-1,643068654
chrIII;286832;286955;-1,721702946
chrIII;288517;288666;-1,741922271
chrIII;303804;303963;-1,37380065
chrIII;307204;307345;-1,196540658
chrIII;307633;307788;-0,89410963
chrIII;308042;308191;-1,370040044
chrIII;310321;310472;-1,747404911
chrIII;310654;310803;-1,380621571
chrIII;311798;311947;-1,34814441
chrIII;314554;314707;-1,398051656
chrIV;0;126;-1,10383509
chrIV;0;145;-1,757917866
chrIV;0;155;-0,929815149
chrIV;5;126;-0,65036107
chrIV;14;126;-0,341478537
chrIV;14;134;0,009244849
chrIV;14;155;-0,320519223
chrIV;44;126;-1,797422563
chrIV;44;134;-0,866532098
chrIV;44;145;-1,335249574
chrIV;44;155;-0,627750502
chrIV;57;155;-1,175481081
chrIV;1765;1923;-1,35502516
chrIV;6558;6652;-1,414337508
chrIV;8786;8917;-1,245132351
chrIV;10468;10622;-1,473432049
chrIV;11706;11865;-1,150143293
chrIV;12342;12498;-1,614260576
chrIV;12922;13062;-1,097755446
chrIV;13187;13340;-1,067679421
chrIV;15846;16000;-1,342552837
chrIV;16215;16372;-1,069107003
chrIV;16517;16676;-1,192054713
chrIV;22332;22485;-1,343674134
chrIV;22780;22921;-1,016114724
chrIV;24904;25025;-1,389808288
chrIV;26118;26260;-1,314219095
chrIV;28132;28284;-1,460268241
chrIV;28565;28649;-0,345479309
chrIV;28606;28762;-1,05599875
chrIV;29713;29864;-1,459773062
chrIV;30032;30191;-1,422734494
chrIV;31789;31954;-1,593088039
chrIV;32229;32385;-1,61034737
chrIV;33584;33743;-1,391758771
chrIV;34942;35098;-1,390390195
chrIV;43249;43399;-1,213538559
chrIV;43986;44132;-1,385102157
chrIV;51938;52044;-1,216172823
chrIV;55412;55541;-1,196002235
chrIV;56586;56757;-1,227866412
chrIV;60333;60467;-1,097455173
chrIV;61937;62077;-1,028434641
chrIV;77124;77282;-1,551926047
chrIV;78906;79062;-1,232193114
chrIV;86969;87132;-1,158265081
chrIV;90699;90847;-1,410873582
chrIV;94580;94722;-1,42529725
chrIV;97197;97345;-0,911843753
chrIV;101729;101892;-1,168445221
chrIV;103149;103279;-0,529212448
chrIV;109515;109652;-1,443348703
chrIV;109515;109656;-1,213831778
chrIV;109515;109666;-1,015005865
chrIV;109518;109656;-1,422156087
chrIV;110479;110614;-1,188914917
chrIV;113056;113240;-1,547311362
chrIV;118783;118936;-1,291131377
chrIV;121491;121639;-1,219188809
chrIV;122619;122777;-1,438248176
chrIV;124114;124238;-1,024991831
chrIV;125012;125174;-1,492641519
chrIV;126907;127064;-1,161292061
chrIV;126907;127064;-1,161292061
chrIV;127133;127254;-1,338539227
chrIV;130391;130540;-1,371628326
chrIV;134454;134627;-1,223835209
chrIV;137744;137906;-1,398042036
chrIV;147424;147558;-0,705629157
chrIV;148138;148259;-0,813745752
chrIV;148138;148287;-1,208846281
chrIV;148147;148256;-1,122393819
chrIV;148147;148259;-1,141336115
chrIV;148147;148287;-1,565186748
chrIV;148150;148259;-1,024588753
chrIV;148662;148839;-1,286223853
chrIV;150319;150438;-1,353528407
chrIV;150791;150954;-1,538821231
chrIV;151146;151295;-1,149644659
chrIV;154011;154153;-1,749524939
chrIV;156456;156616;-1,472583844
chrIV;156781;156930;-1,360907042
chrIV;158096;158254;-1,343130283
chrIV;158096;158254;-1,343130283
chrIV;158496;158646;-1,106203647
chrIV;162837;162965;-1,135418386
chrIV;163802;163934;-1,034309912
chrIV;163887;164037;-1,029478734
chrIV;163887;164037;-1,029478734
chrIV;164671;164820;-1,207463713
chrIV;168971;169122;-1,005288111
chrIV;180947;181107;-1,293493543
chrIV;185030;185179;-1,263427469
chrIV;185042;185156;-1,280167402
chrIV;196778;196946;-1,063367532
chrIV;198969;199115;-1,081610066
chrIV;200831;200925;-1,401682972
chrIV;202938;203097;-1,561079247
chrIV;204891;205041;-1,164834503
chrIV;205789;205917;-0,914710537
chrIV;214844;215003;-1,426304769
chrIV;224519;224676;-1,291868774
chrIV;224519;224676;-1,291868774
chrIV;228430;228579;-1,442284036
chrIV;230300;230458;-1,403873142
chrIV;235048;235188;-1,084110797
chrIV;235556;235704;-1,282020667
chrIV;235556;235704;-1,282020667
chrIV;240743;240895;-0,728390045
chrIV;241083;241236;-1,508388003
chrIV;243252;243404;-1,635774479
chrIV;247954;248116;-1,729018586
chrIV;249148;249302;-1,325363328
chrIV;249297;249444;-1,283329213
chrIV;253799;253940;-1,113168052
chrIV;262881;263029;-1,41641368
chrIV;268349;268491;-0,997311227
chrIV;269754;269886;-0,999288012
chrIV;275399;275562;-1,422105141
chrIV;277085;277203;-1,542351584
