Name;chrom;start;end;position;peakheight;nc;occ;fuzziness
N1:34540;chr01;34467;34613;"+8:YAL061W; -1:SUT435; ";2,06;4;100;30,181
N1:34700;chr01;34627;34773;"+9:YAL061W; ";3,86;6;75,25;18,541
N1:34873;chr01;34800;34946;"+10:YAL061W; -1:YAL060W; ";3,24;5;100;23,597
N1:35047;chr01;34974;35120;"+11*:YAL061W; 0:YAL060W; ";3,28;5;94,33;20,112
N1:35244;chr01;35171;35317;"+2:YAL060W; ";5,45;6;100;8,295
N1:35412;chr01;35339;35485;"+3:YAL060W; ";4,71;5;100;6,731
N1:35700;chr01;35627;35773;"+5:YAL060W; ";3,87;6;90,25;31,935
N1:35869;chr01;35796;35942;"+6:YAL060W; +4*:CUT439; ";4,04;6;88,25;23,235
N1:36163;chr01;36090;36236;"+8:YAL060W; +2:CUT439; ";4,60;5;89;7,842
N1:36327;chr01;36254;36400;"-1:YAL059W; +9*:YAL060W; +1:CUT439; ";3,74;5;77;21,811
N1:36592;chr01;36519;36665;"+1:YAL059W; -1:CUT439; ";5,32;6;84,25;9,663
N1:36762;chr01;36689;36835;"+2:YAL059W; ";4,26;5;81,67;11,171
N1:37070;chr01;36997;37143;"+4*:YAL059W; ";5,28;6;100;10,387
N1:37232;chr01;37159;37305;"-1:YAL058W; ";2,17;4;39,5;30,649
N1:37445;chr01;37372;37518;"+1:YAL058W; ";5,41;6;83;9,375
N1:37620;chr01;37547;37693;"+2:YAL058W; ";5,09;6;100;11,548
N1:37771;chr01;37698;37844;"+3:YAL058W; ";3,83;5;100;17,228
N1:37944;chr01;37871;38017;"+4:YAL058W; ";5,76;6;100;5,329
N1:38110;chr01;38037;38183;"+5:YAL058W; ";3,50;5;96,33;17,349
N1:38289;chr01;38216;38362;"+6:YAL058W; ";3,85;5;96,33;16
N1:38459;chr01;38386;38532;"+7:YAL058W; ";4,94;6;100;37,157
N1:38641;chr01;38568;38714;"+8:YAL058W; ";5,09;6;100;11,009
N1:38806;chr01;38733;38879;"+9*:YAL058W; ";5,64;6;100;6,772
N1:38975;chr01;38902;39048;"-1:YAL056W; ";5,84;6;100;4,324
N1:39264;chr01;39191;39337;"+1:YAL056W; ";3,24;4;100;13,5
N1:39417;chr01;39344;39490;"+2:YAL056W; ";4,54;5;85,33;8,503
N1:39587;chr01;39514;39660;"+3:YAL056W; ";5,61;6;100;6,969
N1:39753;chr01;39680;39826;"+4:YAL056W; ";5,90;6;91,75;3,332
N1:39922;chr01;39849;39995;"+5:YAL056W; ";2,67;3;0;10,149
N1:40201;chr01;40128;40274;"+7:YAL056W; ";3,81;5;80,33;15,71
N1:40397;chr01;40324;40470;"+8:YAL056W; ";2,46;5;100;35,093
N1:40545;chr01;40472;40618;"+9:YAL056W; ";1,95;3;56;28,931
N1:40814;chr01;40741;40887;"+11:YAL056W; ";2,69;4;100;29,01
N1:41143;chr01;41070;41216;"+13:YAL056W; ";2,66;5;100;38,913
N1:41441;chr01;41368;41514;"+15:YAL056W; ";4,30;5;100;10,545
N1:41596;chr01;41523;41669;"+16:YAL056W; ";3,54;5;89;21,529
N1:41765;chr01;41692;41838;"+17*:YAL056W; ";3,77;4;100;6,85
N1:41942;chr01;41869;42015;"-1:YAL055W; ";4,04;5;53,67;15,215
N1:42224;chr01;42151;42297;"+1:YAL055W; ";4,95;6;100;12,502
N1:42392;chr01;42319;42465;"+2:YAL055W; ";4,53;5;77,67;8,718
N1:42565;chr01;42492;42638;"+3:YAL055W; ";4,30;5;100;11,845
N1:42913;chr01;42840;42986;"+13:YAL054C; +5*:YAL055W; ";3,36;5;71,67;19,715
N1:43085;chr01;43012;43158;"+12:YAL054C; ";2,97;5;85,67;32,799
N1:43288;chr01;43215;43361;"+11:YAL054C; -1:SUT002; ";4,57;6;100;14,919
N1:43478;chr01;43405;43551;"+10:YAL054C; +1:SUT002; ";3,97;5;89;13,682
N1:43639;chr01;43566;43712;"+9:YAL054C; +2:SUT002; ";4,89;5;95,67;3,912
N1:43812;chr01;43739;43885;"+8:YAL054C; +3:SUT002; ";3,67;4;100;8,302
N1:44128;chr01;44055;44201;"+6:YAL054C; +5:SUT002; ";4,20;6;72,5;16,158
N1:44315;chr01;44242;44388;"+5:YAL054C; +6:SUT002; ";4,44;6;100;16,371
N1:44472;chr01;44399;44545;"+4:YAL054C; +7:SUT002; ";4,78;6;91,75;13,367
N1:44653;chr01;44580;44726;"+3:YAL054C; +8:SUT002; ";4,98;6;97;19,631
N1:44826;chr01;44753;44899;"+2:YAL054C; +9:SUT002; ";3,61;4;73,5;9,106
N1:44993;chr01;44920;45066;"+1:YAL054C; +10:SUT002; ";5,00;6;99,5;16,133
N1:45159;chr01;45086;45232;"0:YAL054C; +11:SUT002; ";4,39;6;84;16,452
N1:45443;chr01;45370;45516;"-1:YAL053W; ";1,90;3;50,5;25,942
N1:45639;chr01;45566;45712;"0:YAL053W; ";1,18;2;50;24,749
N1:45807;chr01;45734;45880;"+1:YAL053W; ";2,62;3;50;11,06
N1:45969;chr01;45896;46042;"+2:YAL053W; ";5,92;6;100;3,077
N1:46136;chr01;46063;46209;"+3:YAL053W; ";4,50;5;100;8,916
N1:46303;chr01;46230;46376;"+4:YAL053W; ";5,08;6;83,5;12,533
N1:46469;chr01;46396;46542;"+5:YAL053W; ";3,83;4;100;5,916
N1:46621;chr01;46548;46694;"+6:YAL053W; ";3,53;5;99;16,529
N1:46795;chr01;46722;46868;"+7:YAL053W; ";3,94;6;86;33,484
N1:46978;chr01;46905;47051;"+8:YAL053W; ";1,00;3;61,5;64,023
N1:47136;chr01;47063;47209;"+9:YAL053W; ";3,22;5;99,67;25,417
N1:47288;chr01;47215;47361;"+10:YAL053W; ";1,92;4;71,33;30,653
N1:47468;chr01;47395;47541;"+11:YAL053W; ";4,14;5;94,75;28,043
N1:47758;chr01;47685;47831;"+13:YAL053W; ";4,39;6;91,75;16,931
N1:48079;chr01;48006;48152;"+15:YAL053W; ";4,38;6;89,75;14,94
N1:48252;chr01;48179;48325;"-1:YAL051W; +16*:YAL053W; ";3,50;4;100;10,782
N1:48421;chr01;48348;48494;"0:YAL051W; ";1,62;2;100;15,556
N1:48572;chr01;48499;48645;"+1:YAL051W; ";3,26;5;100;23,742
N1:48747;chr01;48674;48820;"+2:YAL051W; ";5,50;6;75,25;8,256
N1:48911;chr01;48838;48984;"+3:YAL051W; ";2,84;4;100;16,462
N1:49086;chr01;49013;49159;"+4:YAL051W; ";2,99;5;99;26,969
N1:49270;chr01;49197;49343;"+5:YAL051W; ";3,93;6;100;24,825
N1:49534;chr01;49461;49607;"+7:YAL051W; ";3,33;6;88,25;24,75
N1:49725;chr01;49652;49798;"+8:YAL051W; ";3,80;6;93,5;38,861
N1:49885;chr01;49812;49958;"+9:YAL051W; ";1,47;3;78;31,607
N1:50058;chr01;49985;50131;"+10:YAL051W; ";4,40;6;100;15,922
N1:50362;chr01;50289;50435;"+12:YAL051W; ";4,25;5;92,67;11,929
N1:50654;chr01;50581;50727;"+14:YAL051W; ";2,24;3;100;16,803
N1:50858;chr01;50785;50931;"+15:YAL051W; ";2,97;5;91,67;21,052
N1:51044;chr01;50971;51117;"+16:YAL051W; ";3,87;6;90,25;23,51
N1:51210;chr01;51137;51283;"+17:YAL051W; ";4,56;5;100;8,468
N1:51357;chr01;51284;51430;"+18:YAL051W; ";2,63;4;98,5;35,612
N1:51571;chr01;51498;51644;"+19:YAL051W; ";2,66;5;100;23,231
N1:51744;chr01;51671;51817;"+6*:YAL049C; +20*:YAL051W; ";1,65;2;92;14,849
N1:51948;chr01;51875;52021;"+5:YAL049C; ";3,04;6;96,75;32,216
N1:52114;chr01;52041;52187;"+4:YAL049C; ";3,76;5;100;21,119
N1:52271;chr01;52198;52344;"+3:YAL049C; ";2,46;4;100;27,958
N1:52431;chr01;52358;52504;"+2:YAL049C; ";3,88;4;100;4,924
N1:52590;chr01;52517;52663;"+1:YAL049C; ";5,23;6;100;11,167
N1:52883;chr01;52810;52956;"+12:YAL048C; -1:YAL049C; ";4,13;6;94,5;26,227
N1:53058;chr01;52985;53131;"+11:YAL048C; ";4,41;6;100;17,394
N1:53218;chr01;53145;53291;"+10:YAL048C; ";3,86;5;99,25;15,556
N1:53376;chr01;53303;53449;"+9:YAL048C; ";5,08;6;100;11,572
N1:53535;chr01;53462;53608;"+8:YAL048C; ";3,85;5;100;14,782
N1:53710;chr01;53637;53783;"+7:YAL048C; ";2,92;5;100;33,687
N1:53880;chr01;53807;53953;"+6:YAL048C; ";3,64;6;93,75;32,669
N1:54088;chr01;54015;54161;"+5:YAL048C; ";3,62;4;100;8,963
N1:54248;chr01;54175;54321;"+4:YAL048C; ";5,67;6;99,5;6,306
N1:54425;chr01;54352;54498;"+3:YAL048C; ";4,97;6;100;12,64
N1:54583;chr01;54510;54656;"+2:YAL048C; ";4,79;6;100;19,065
N1:54749;chr01;54676;54822;"+1:YAL048C; ";3,93;6;100;17,83
N1:54945;chr01;54872;55018;"-1:YAL048C; +13*:YAL047C; ";2,13;4;100;25,489
N1:55139;chr01;55066;55212;"+12:YAL047C; ";5,92;6;100;2,994
N1:55307;chr01;55234;55380;"+11:YAL047C; ";5,03;6;99,25;11,548
N1:55476;chr01;55403;55549;"+10:YAL047C; ";2,61;3;72;11,24
N1:55647;chr01;55574;55720;"+9:YAL047C; ";4,18;5;78;12,198
N1:55812;chr01;55739;55885;"+8:YAL047C; ";4,74;6;82,75;15,423
N1:55978;chr01;55905;56051;"+7:YAL047C; ";3,34;5;93;19,473
N1:56143;chr01;56070;56216;"+6:YAL047C; ";4,20;6;100;16,79
N1:56311;chr01;56238;56384;"+5:YAL047C; ";4,10;5;100;12,911
N1:56487;chr01;56414;56560;"+4:YAL047C; ";5,43;6;78,25;8,329
N1:56652;chr01;56579;56725;"+3:YAL047C; ";4,90;6;100;13,145
N1:56823;chr01;56750;56896;"+2:YAL047C; ";5,92;6;100;3,061
N1:57022;chr01;56949;57095;"+3*:YAL046C; +1:YAL047C; ";3,93;4;100;3,775
N1:57184;chr01;57111;57257;"+2:YAL046C; -1:YAL044W-A; -1:YAL047C; ";5,95;6;78;2,401
N1:57349;chr01;57276;57422;"+1:YAL046C; 0:YAL044W-A; ";5,39;6;100;8,959
N1:57555;chr01;57482;57628;"-1:YAL046C; +1:YAL044W-A; ";5,87;6;100;3,899
N1:57726;chr01;57653;57799;"+2:YAL044W-A; ";5,74;6;100;5,502
N1:57919;chr01;57846;57992;"+4*:YAL044C; +3:YAL044W-A; ";2,65;3;40;10,599
N1:58076;chr01;58003;58149;"+3:YAL044C; +4*:YAL044W-A; ";4,14;5;82,67;12,422
N1:58269;chr01;58196;58342;"+2:YAL044C; ";4,38;5;78,33;10,474
N1:58432;chr01;58359;58505;"+1:YAL044C; ";4,78;6;100;12,859
N1:58713;chr01;58640;58786;"-1:YAL044C; ";3,67;6;92,25;27,23
N1:58885;chr01;58812;58958;"+14*:YAL043C; ";2,78;4;100;26,107
N1:59078;chr01;59005;59151;"+13:YAL043C; ";3,15;5;77;21,114
N1:59259;chr01;59186;59332;"+12:YAL043C; ";1,66;5;73;44,483
N1:59429;chr01;59356;59502;"+11:YAL043C; ";3,68;5;66,33;26,033
N1:59589;chr01;59516;59662;"+10:YAL043C; ";2,96;4;100;19,638
N1:59751;chr01;59678;59824;"+9:YAL043C; ";2,97;5;89,33;22,367
N1:59903;chr01;59830;59976;"+8:YAL043C; ";4,17;5;84,33;12,276
N1:60071;chr01;59998;60144;"+7:YAL043C; ";5,42;6;91,75;8,803
N1:60234;chr01;60161;60307;"+6:YAL043C; ";5,34;6;100;9,368
N1:60393;chr01;60320;60466;"+5:YAL043C; ";4,16;5;80,67;13,096
N1:60550;chr01;60477;60623;"+4:YAL043C; ";2,92;4;100;27,97
N1:60700;chr01;60627;60773;"+3:YAL043C; ";5,11;6;86;10,807
N1:60859;chr01;60786;60932;"+2:YAL043C; ";4,18;5;82;11,576
N1:61025;chr01;60952;61098;"-1:YAL042W; +1:YAL043C; ";5,44;6;91,75;8,618
N1:61331;chr01;61258;61404;"+1:YAL042W; -1:YAL043C; ";4,61;5;89,67;7,778
N1:61492;chr01;61419;61565;"+2:YAL042W; ";4,83;5;100;5,07
N1:61654;chr01;61581;61727;"+3:YAL042W; ";4,77;5;78;5,916
N1:61819;chr01;61746;61892;"+4:YAL042W; ";5,52;6;91,75;7,757
N1:61989;chr01;61916;62062;"+5:YAL042W; ";4,59;5;60,33;8,106
N1:62189;chr01;62116;62262;"+6:YAL042W; ";2,35;5;86;39,271
N1:62346;chr01;62273;62419;"+7:YAL042W; ";3,20;5;86;27,943
N1:62535;chr01;62462;62608;"+8*:YAL042W; -1:YAL041W; ";5,62;6;83,5;6,812
N1:62815;chr01;62742;62888;"+1:YAL041W; ";4,93;6;92,75;15,092
N1:62982;chr01;62909;63055;"+2:YAL041W; ";3,60;4;83,5;9,129
N1:63148;chr01;63075;63221;"+3:YAL041W; ";4,65;5;100;7,259
N1:63316;chr01;63243;63389;"+4:YAL041W; ";4,56;5;96,67;8,349
N1:63482;chr01;63409;63555;"+5:YAL041W; ";3,41;4;64,33;11,804
N1:63630;chr01;63557;63703;"+6:YAL041W; ";3,09;5;100;23,452
N1:63940;chr01;63867;64013;"+8:YAL041W; ";4,98;6;80,75;11,57
N1:64230;chr01;64157;64303;"+10:YAL041W; ";3,87;5;72,33;13,903
N1:64522;chr01;64449;64595;"+12:YAL041W; ";3,12;4;83,5;15,903
N1:64680;chr01;64607;64753;"+13:YAL041W; ";3,14;6;99,25;35,011
N1:64922;chr01;64849;64995;"+14:YAL041W; ";2,37;4;88,33;35,157
N1:65161;chr01;65088;65234;"+15:YAL041W; ";2,91;3;1;5,292
N1:65326;chr01;65253;65399;"+16:YAL041W; ";5,50;6;89;7,84
N1:65489;chr01;65416;65562;"+17*:YAL041W; ";2,65;4;50;19,619
N1:65686;chr01;65613;65759;"+15*:YAL040C; ";1,01;2;100;35,355
N1:65842;chr01;65769;65915;"+14:YAL040C; ";3,72;6;100;20,459
N1:66102;chr01;66029;66175;"+12:YAL040C; ";2,00;4;83,5;45,07
N1:66258;chr01;66185;66331;"+11:YAL040C; ";3,29;6;100;34,793
N1:66511;chr01;66438;66584;"+9:YAL040C; ";2,07;4;56;33,984
N1:66670;chr01;66597;66743;"+8:YAL040C; ";2,01;4;77;31,479
N1:66864;chr01;66791;66937;"+7:YAL040C; ";3,35;5;89;19,018
N1:67021;chr01;66948;67094;"+6:YAL040C; ";3,48;5;81,33;33,712
N1:67314;chr01;67241;67387;"+4:YAL040C; ";2,13;4;100;32,212
N1:67491;chr01;67418;67564;"+3:YAL040C; ";2,94;5;84,75;40,721
N1:67670;chr01;67597;67743;"+2:YAL040C; ";5,10;6;100;25,637
N1:67823;chr01;67750;67896;"+1:YAL040C; ";3,10;5;100;29,744
